"Keyword","Freq"
"mac",448
"sql",332
"r",329
"python",324
"hadoop",200
"c",194
"java",179
"spark",143
"hive",109
"scala",106
"sas",73
"tableau",68
"c++",64
"mysql",51
"nosql",43
"pig",42
"linux",41
"oracle",27
"postgres",25
"mongodb",22
"natural language processing",21
"redis",20
"mahout",20
"hbase",19
"cassandra",18
"predictive analytics",18
"scikit-learn",14
"etl",14
"zookeeper",11
"ambari",8
"text mining",6
"elastic",6
"d3.js",4
"descriptive statistics",4
"regression analysis",4
"web analytics",4
"text analytics",2
"fusioncharts",2
"charts.js",2
"highcharts",2
"dygraphs",2
"avro",2
"apache storm",2
"inferential statistics",2
"windows",2
"google charts",0
"leaflet",0
"datawrapper",0
"qlikview",0
"plotly",0
"tez",0
"chukwa",0
"apache kafka",0
"naive bayes classifier",0
"b.s computer science",0
"b.s statistics",0
"b.s mathematics",0
"b.s applied mathematics",0
"b.s economics",0
"b.s physics",0
"m.s computer science",0
"m.s statistics",0
"m.s mathematics",0
"m.s applied mathematics",0
"m.s operations research",0
"m.s quantitative finance",0
